Applicant_Name,Gender,State,District,PinCode,GID,Owner,TypeOfConnection,Status,connection_no,connection_date,Connection_Status
Rahul Iyer,Female,Kerala,Kozhikode,520588,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB002191,2026-06-11,RELEASED
Olivia Moore,Male,Tamil Nadu,Salem,676782,PASSPORT,JOINT,Commercial,Connection Released,EB002192,2026-06-11,RELEASED
Rahul Taylor,Female,Karnataka,Bengaluru,606330,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB002193,2026-06-11,RELEASED
Joseph Johnson,Male,Telangana,Karimnagar,692085,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB002194,2026-06-11,RELEASED
Priya Iyer,Female,Kerala,Kannur,548564,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002195,2026-06-11,RELEASED
Pooja Thomas,Male,Karnataka,Hubballi,560853,PAN,JOINT,Residential,Connection Released,EB002196,2026-06-11,RELEASED
Amit Kumar,Female,Andhra Pradesh,Nellore,691868,ADHAR,JOINT,Commercial,Connection Released,EB002197,2026-06-11,RELEASED
Abigail Anderson,Female,Karnataka,Mangaluru,599159,PAN,INDIVIDUAL,Commercial,CONNECTING,EB002198,2026-06-11,PENDING
Amit Verma,Male,Andhra Pradesh,Visakhapatnam,591224,ADHAR,JOINT,Commercial,Connection Released,EB002199,2026-06-11,RELEASED
Akash Iyer,Female,Telangana,Khammam,570561,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB002200,2026-06-11,RELEASED
Manoj Johnson,Male,Tamil Nadu,Chennai,691629,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002201,2026-06-11,RELEASED
Mia Sharma,Female,Karnataka,Mysuru,534616,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB002202,2026-06-11,RELEASED
Arjun Taylor,Male,Andhra Pradesh,Vijayawada,532693,VOTER_ID,JOINT,Residential,Connection Released,EB002203,2026-06-11,RELEASED
Olivia Wilson,Female,Tamil Nadu,Salem,593174,PAN,JOINT,Residential,Connection Released,EB002204,2026-06-11,RELEASED
Amit Moore,Male,Karnataka,Hubballi,689337,ADHAR,JOINT,Commercial,Connection Released,EB002205,2026-06-11,RELEASED
Jack Verma,Female,Telangana,Nizamabad,517014,PASSPORT,INDIVIDUAL,Residential,CONNECTING,EB002206,2026-06-11,PENDING
Naveen Gupta,Female,Andhra Pradesh,Vijayawada,507784,PASSPORT,JOINT,Commercial,Connection Released,EB002207,2026-06-11,RELEASED
Harper Taylor,Male,Tamil Nadu,Chennai,644117,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB002208,2026-06-11,RELEASED
Sophia Patel,Male,Andhra Pradesh,Nellore,690274,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB002209,2026-06-11,RELEASED
Daniel Johnson,Male,Andhra Pradesh,Vijayawada,604136,PAN,JOINT,Residential,Connection Released,EB002210,2026-06-11,RELEASED
Vikram Kumar,Male,Telangana,Khammam,530977,ADHAR,JOINT,Residential,Connection Released,EB002211,2026-06-11,RELEASED
Harper Rajan,Female,Andhra Pradesh,Visakhapatnam,678497,PAN,JOINT,Residential,CONNECTING,EB002212,2026-06-11,PENDING
Priya Taylor,Female,Kerala,Thrissur,620580,VOTER_ID,JOINT,Residential,Connection Released,EB002213,2026-06-11,RELEASED
Emma Gupta,Male,Tamil Nadu,Chennai,520670,ADHAR,JOINT,Residential,Connection Released,EB002214,2026-06-11,RELEASED
Joseph Moore,Male,Telangana,Hyderabad,689865,ADHAR,JOINT,Residential,Connection Released,EB002215,2026-06-11,RELEASED
Abigail Smith,Female,Kerala,Kannur,547802,PASSPORT,JOINT,Commercial,Connection Released,EB002216,2026-06-11,RELEASED
Karthik Verma,Female,Tamil Nadu,Tirunelveli,568602,PASSPORT,JOINT,Residential,CONNECTING,EB002217,2026-06-11,PENDING
Varun Verma,Female,Tamil Nadu,Madurai,505507,ADHAR,JOINT,Commercial,Connection Released,EB002218,2026-06-11,RELEASED
Ananya Wilson,Male,Telangana,Karimnagar,658815,PAN,JOINT,Residential,CONNECTING,EB002219,2026-06-11,PENDING
Divya Anderson,Male,Kerala,Thrissur,614041,VOTER_ID,JOINT,Commercial,Connection Released,EB002220,2026-06-11,RELEASED
Ava Thomas,Female,Tamil Nadu,Tirunelveli,661346,PAN,INDIVIDUAL,Residential,DISCONNECTED,EB002221,2026-06-11,DISCONNECTED
Sophia Iyer,Male,Telangana,Nizamabad,565715,PAN,JOINT,Residential,Connection Released,EB002222,2026-06-11,RELEASED
Olivia Verma,Female,Andhra Pradesh,Nellore,659739,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002223,2026-06-11,RELEASED
John Patel,Female,Karnataka,Mysuru,590692,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB002224,2026-06-11,RELEASED
Amit Anderson,Female,Kerala,Thrissur,661243,PAN,JOINT,Commercial,Connection Released,EB002225,2026-06-11,RELEASED
John Wilson,Female,Telangana,Hyderabad,580019,PASSPORT,INDIVIDUAL,Residential,DISCONNECTED,EB002226,2026-06-11,DISCONNECTED
William Johnson,Male,Kerala,Kannur,672448,ADHAR,INDIVIDUAL,Residential,CONNECTING,EB002227,2026-06-11,PENDING
Suresh Verma,Male,Telangana,Karimnagar,682994,PAN,INDIVIDUAL,Commercial,Connection Released,EB002228,2026-06-11,RELEASED
Naveen Sharma,Female,Telangana,Hyderabad,683579,PASSPORT,JOINT,Commercial,Connection Released,EB002229,2026-06-11,RELEASED
Amelia Sharma,Male,Kerala,Kannur,524697,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB002230,2026-06-11,RELEASED
John Sharma,Male,Andhra Pradesh,Kurnool,617813,VOTER_ID,JOINT,Commercial,CONNECTING,EB002231,2026-06-11,PENDING
Emma Rajan,Female,Andhra Pradesh,Nellore,512965,PAN,INDIVIDUAL,Residential,Connection Released,EB002232,2026-06-11,RELEASED
Manoj Anderson,Male,Telangana,Hyderabad,512644,VOTER_ID,JOINT,Commercial,Connection Released,EB002233,2026-06-11,RELEASED
Abigail Verma,Male,Telangana,Khammam,531697,PAN,JOINT,Residential,Connection Released,EB002234,2026-06-11,RELEASED
Sneha Moore,Male,Karnataka,Mangaluru,514077,PASSPORT,JOINT,Residential,CONNECTING,EB002235,2026-06-11,PENDING
Divya Miller,Male,Andhra Pradesh,Vijayawada,674743,VOTER_ID,JOINT,Commercial,FAILED,EB002236,2026-06-11,PENDING
Mia Thomas,Male,Andhra Pradesh,Kurnool,539715,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB002237,2026-06-11,RELEASED
Rohit Thomas,Female,Karnataka,Hubballi,652418,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB002238,2026-06-11,RELEASED
Amelia Johnson,Male,Karnataka,Hubballi,591504,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB002239,2026-06-11,RELEASED
Evelyn Iyer,Female,Tamil Nadu,Madurai,541839,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB002240,2026-06-11,RELEASED
Rohit Kumar,Male,Tamil Nadu,Madurai,603659,ADHAR,JOINT,Residential,Connection Released,EB002241,2026-06-11,RELEASED
Rohit Smith,Female,Telangana,Warangal,587727,ADHAR,JOINT,Residential,Connection Released,EB002242,2026-06-11,RELEASED
Evelyn Nair,Male,Andhra Pradesh,Kurnool,516420,PAN,INDIVIDUAL,Residential,CONNECTING,EB002243,2026-06-11,PENDING
Amit Iyer,Male,Tamil Nadu,Madurai,500619,VOTER_ID,JOINT,Commercial,Connection Released,EB002244,2026-06-11,RELEASED
Joseph Moore,Male,Telangana,Warangal,632207,ADHAR,JOINT,Commercial,Connection Released,EB002245,2026-06-11,RELEASED
James Anderson,Male,Tamil Nadu,Coimbatore,600343,PAN,JOINT,Commercial,Connection Released,EB002246,2026-06-11,RELEASED
James Gupta,Female,Telangana,Hyderabad,571185,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB002247,2026-06-11,RELEASED
Prakash Patel,Female,Telangana,Warangal,577270,PAN,INDIVIDUAL,Residential,DISCONNECTED,EB002248,2026-06-11,DISCONNECTED
Jack Davis,Male,Andhra Pradesh,Visakhapatnam,548506,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB002249,2026-06-11,RELEASED
Sneha Nair,Male,Tamil Nadu,Salem,665249,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB002250,2026-06-11,RELEASED
Abigail Reddy,Female,Tamil Nadu,Chennai,522530,PAN,JOINT,Residential,Connection Released,EB002251,2026-06-11,RELEASED
Michael Smith,Female,Karnataka,Mangaluru,505520,VOTER_ID,INDIVIDUAL,Commercial,DISCONNECTED,EB002252,2026-06-11,DISCONNECTED
Varun Verma,Female,Tamil Nadu,Salem,541044,PAN,JOINT,Residential,Connection Released,EB002253,2026-06-11,RELEASED
Priya Iyer,Male,Tamil Nadu,Coimbatore,564371,VOTER_ID,JOINT,Residential,Connection Released,EB002254,2026-06-11,RELEASED
Akash Reddy,Female,Andhra Pradesh,Kurnool,627082,VOTER_ID,INDIVIDUAL,Residential,CONNECTING,EB002255,2026-06-11,PENDING
Kavya Taylor,Male,Telangana,Karimnagar,522782,PASSPORT,JOINT,Residential,Connection Released,EB002256,2026-06-11,RELEASED
Ananya Johnson,Female,Karnataka,Mysuru,651911,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB002257,2026-06-11,RELEASED
Priya Wilson,Male,Tamil Nadu,Madurai,668644,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB002258,2026-06-11,RELEASED
Manoj Sharma,Male,Andhra Pradesh,Vijayawada,522165,PAN,INDIVIDUAL,Commercial,Connection Released,EB002259,2026-06-11,RELEASED
Prakash Rajan,Female,Tamil Nadu,Coimbatore,575947,PASSPORT,JOINT,Residential,Connection Released,EB002260,2026-06-11,RELEASED
Kavya Taylor,Female,Tamil Nadu,Tirunelveli,626285,PASSPORT,JOINT,Commercial,Connection Released,EB002261,2026-06-11,RELEASED
Ava Nair,Male,Karnataka,Mysuru,520493,PASSPORT,JOINT,Commercial,Connection Released,EB002262,2026-06-11,RELEASED
Harper Sharma,Male,Kerala,Kochi,649252,VOTER_ID,INDIVIDUAL,Commercial,CONNECTING,EB002263,2026-06-11,PENDING
Thomas Kumar,Male,Tamil Nadu,Coimbatore,597704,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB002264,2026-06-11,RELEASED
Joseph Patel,Male,Tamil Nadu,Coimbatore,597697,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002265,2026-06-11,RELEASED
Thomas Reddy,Female,Kerala,Kochi,554693,PASSPORT,JOINT,Commercial,Connection Released,EB002266,2026-06-11,RELEASED
William Moore,Male,Telangana,Nizamabad,602651,VOTER_ID,INDIVIDUAL,Residential,CONNECTING,EB002267,2026-06-11,PENDING
Charlotte Reddy,Male,Tamil Nadu,Salem,641762,PAN,JOINT,Residential,Connection Released,EB002268,2026-06-11,RELEASED
Amit Wilson,Male,Telangana,Karimnagar,542787,PAN,INDIVIDUAL,Residential,Connection Released,EB002269,2026-06-11,RELEASED
David Wilson,Female,Kerala,Thiruvananthapuram,537009,PAN,JOINT,Residential,CONNECTING,EB002270,2026-06-11,PENDING
Akash Smith,Male,Telangana,Nizamabad,576559,PAN,JOINT,Residential,Connection Released,EB002271,2026-06-11,RELEASED
Karthik Miller,Male,Andhra Pradesh,Visakhapatnam,691857,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002272,2026-06-11,RELEASED
Jack Moore,Female,Telangana,Nizamabad,602331,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB002273,2026-06-11,RELEASED
James Davis,Male,Andhra Pradesh,Visakhapatnam,565955,PAN,JOINT,Residential,Connection Released,EB002274,2026-06-11,RELEASED
William Rajan,Male,Andhra Pradesh,Guntur,681885,PAN,JOINT,Residential,CONNECTING,EB002275,2026-06-11,PENDING
Arjun Nair,Female,Karnataka,Bengaluru,636402,PASSPORT,INDIVIDUAL,Commercial,CONNECTING,EB002276,2026-06-11,PENDING
Thomas Iyer,Male,Andhra Pradesh,Kurnool,533792,PAN,INDIVIDUAL,Residential,Connection Released,EB002277,2026-06-11,RELEASED
Evelyn Singh,Female,Kerala,Thrissur,564421,ADHAR,JOINT,Commercial,Connection Released,EB002278,2026-06-11,RELEASED
Rohit Reddy,Male,Kerala,Kozhikode,697336,PAN,JOINT,Commercial,Connection Released,EB002279,2026-06-11,RELEASED
Divya Davis,Female,Kerala,Kozhikode,631122,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB002280,2026-06-11,RELEASED
David Taylor,Male,Tamil Nadu,Salem,539532,VOTER_ID,JOINT,Commercial,Connection Released,EB002281,2026-06-11,RELEASED
Joseph Singh,Female,Andhra Pradesh,Vijayawada,524827,PAN,JOINT,Commercial,Connection Released,EB002282,2026-06-11,RELEASED
Joseph Miller,Female,Karnataka,Belagavi,566726,PAN,JOINT,Commercial,Connection Released,EB002283,2026-06-11,RELEASED
Michael Iyer,Female,Karnataka,Hubballi,542596,PAN,JOINT,Commercial,CONNECTING,EB002284,2026-06-11,PENDING
Varun Singh,Male,Telangana,Warangal,598383,ADHAR,INDIVIDUAL,Residential,CONNECTING,EB002285,2026-06-11,PENDING
Ava Singh,Female,Kerala,Thiruvananthapuram,603935,PASSPORT,JOINT,Commercial,Connection Released,EB002286,2026-06-11,RELEASED
John Sharma,Female,Kerala,Kannur,529506,ADHAR,JOINT,Commercial,Connection Released,EB002287,2026-06-11,RELEASED
David Moore,Female,Andhra Pradesh,Guntur,552111,PAN,INDIVIDUAL,Commercial,Connection Released,EB002288,2026-06-11,RELEASED
Prakash Gupta,Female,Andhra Pradesh,Kurnool,585522,ADHAR,JOINT,Residential,CONNECTING,EB002289,2026-06-11,PENDING
Mia Patel,Male,Karnataka,Belagavi,553392,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002290,2026-06-11,RELEASED
Divya Patel,Female,Telangana,Hyderabad,608820,PAN,INDIVIDUAL,Commercial,DISCONNECTED,EB002291,2026-06-11,DISCONNECTED
Meera Smith,Male,Tamil Nadu,Madurai,601089,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002292,2026-06-11,RELEASED
Pooja Rajan,Male,Tamil Nadu,Coimbatore,501302,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB002293,2026-06-11,RELEASED
Manoj Wilson,Male,Kerala,Kozhikode,538368,VOTER_ID,JOINT,Residential,Connection Released,EB002294,2026-06-11,RELEASED
Evelyn Brown,Female,Kerala,Kannur,611583,PAN,JOINT,Commercial,Connection Released,EB002295,2026-06-11,RELEASED
David Rajan,Female,Andhra Pradesh,Visakhapatnam,645498,VOTER_ID,JOINT,Commercial,Connection Released,EB002296,2026-06-11,RELEASED
Arjun Davis,Male,Telangana,Khammam,681372,PASSPORT,JOINT,Commercial,Connection Released,EB002297,2026-06-11,RELEASED
Vikram Sharma,Male,Karnataka,Mangaluru,542027,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB002298,2026-06-11,RELEASED
Prakash Brown,Male,Karnataka,Hubballi,598552,PASSPORT,JOINT,Residential,UNKNOWN,EB002299,2026-06-11,PENDING
Daniel Davis,Male,Andhra Pradesh,Guntur,503334,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB002300,2026-06-11,RELEASED
Meera Anderson,Male,Karnataka,Mangaluru,518782,PAN,JOINT,Commercial,DISCONNECTED,EB002301,2026-06-11,DISCONNECTED
William Thomas,Male,Karnataka,Mangaluru,550526,PASSPORT,JOINT,Residential,Connection Released,EB002302,2026-06-11,RELEASED
Akash Thomas,Female,Karnataka,Mysuru,635422,PAN,JOINT,Commercial,CONNECTING,EB002303,2026-06-11,PENDING
John Sharma,Male,Kerala,Kozhikode,555513,PAN,INDIVIDUAL,Residential,CONNECTING,EB002304,2026-06-11,PENDING
Daniel Kumar,Male,Andhra Pradesh,Vijayawada,619666,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB002305,2026-06-11,RELEASED
Olivia Reddy,Male,Andhra Pradesh,Nellore,516990,PAN,INDIVIDUAL,Residential,Connection Released,EB002306,2026-06-11,RELEASED
Thomas Wilson,Male,Karnataka,Mangaluru,516331,PASSPORT,INDIVIDUAL,Residential,CONNECTING,EB002307,2026-06-11,PENDING
Harper Sharma,Female,Tamil Nadu,Madurai,519465,PAN,INDIVIDUAL,Commercial,CONNECTING,EB002308,2026-06-11,PENDING
Evelyn Iyer,Male,Kerala,Kochi,586110,PAN,JOINT,Residential,DISCONNECTED,EB002309,2026-06-11,DISCONNECTED
Abigail Moore,Female,Karnataka,Belagavi,689865,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002310,2026-06-11,RELEASED
Thomas Thomas,Female,Tamil Nadu,Coimbatore,599493,PAN,INDIVIDUAL,Residential,DISCONNECTED,EB002311,2026-06-11,DISCONNECTED
Sophia Smith,Male,Tamil Nadu,Tirunelveli,532717,ADHAR,JOINT,Commercial,Connection Released,EB002312,2026-06-11,RELEASED
Vikram Taylor,Female,Kerala,Kozhikode,579575,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB002313,2026-06-11,RELEASED
Thomas Thomas,Female,Kerala,Thiruvananthapuram,573222,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB002314,2026-06-11,RELEASED
Rahul Gupta,Male,Telangana,Hyderabad,694915,ADHAR,INDIVIDUAL,Commercial,DISCONNECTED,EB002315,2026-06-11,DISCONNECTED
Priya Iyer,Female,Karnataka,Hubballi,581033,PAN,INDIVIDUAL,Commercial,Connection Released,EB002316,2026-06-11,RELEASED
Meera Miller,Male,Andhra Pradesh,Visakhapatnam,652335,VOTER_ID,JOINT,Commercial,Connection Released,EB002317,2026-06-11,RELEASED
Deepak Reddy,Male,Tamil Nadu,Tirunelveli,533012,PAN,JOINT,Residential,CONNECTING,EB002318,2026-06-11,PENDING
Daniel Patel,Male,Kerala,Kozhikode,527983,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002319,2026-06-11,RELEASED
Robert Miller,Male,Kerala,Thiruvananthapuram,629621,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB002320,2026-06-11,RELEASED
Amit Anderson,Male,Andhra Pradesh,Kurnool,654388,PAN,INDIVIDUAL,Commercial,Connection Released,EB002321,2026-06-11,RELEASED
Robert Davis,Female,Andhra Pradesh,Guntur,649461,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB002322,2026-06-11,RELEASED
Jack Anderson,Male,Tamil Nadu,Madurai,637103,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB002323,2026-06-11,RELEASED
David Wilson,Female,Andhra Pradesh,Kurnool,565294,PASSPORT,JOINT,Residential,DISCONNECTED,EB002324,2026-06-11,DISCONNECTED
Arjun Patel,Female,Karnataka,Belagavi,693607,PAN,JOINT,Residential,Connection Released,EB002325,2026-06-11,RELEASED
Sophia Brown,Male,Telangana,Karimnagar,636450,PASSPORT,JOINT,Residential,CONNECTING,EB002326,2026-06-11,PENDING
William Rajan,Male,Andhra Pradesh,Kurnool,636766,ADHAR,JOINT,Commercial,CONNECTING,EB002327,2026-06-11,PENDING
Thomas Thomas,Male,Andhra Pradesh,Guntur,664409,ADHAR,JOINT,Commercial,Connection Released,EB002328,2026-06-11,RELEASED
Thomas Brown,Female,Karnataka,Mysuru,636998,ADHAR,JOINT,Residential,Connection Released,EB002329,2026-06-11,RELEASED
Pooja Rajan,Male,Tamil Nadu,Madurai,500517,VOTER_ID,INDIVIDUAL,Commercial,DISCONNECTED,EB002330,2026-06-11,DISCONNECTED
Deepak Wilson,Male,Andhra Pradesh,Nellore,666381,PAN,INDIVIDUAL,Commercial,Connection Released,EB002331,2026-06-11,RELEASED
Michael Davis,Female,Telangana,Warangal,663031,PASSPORT,JOINT,Commercial,Connection Released,EB002332,2026-06-11,RELEASED
Varun Moore,Male,Telangana,Khammam,581143,PASSPORT,INDIVIDUAL,Residential,CONNECTING,EB002333,2026-06-11,PENDING
Divya Nair,Female,Telangana,Warangal,623872,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002334,2026-06-11,RELEASED
Harper Kumar,Female,Telangana,Karimnagar,615276,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB002335,2026-06-11,RELEASED
James Smith,Female,Telangana,Warangal,574792,VOTER_ID,INDIVIDUAL,Residential,CONNECTING,EB002336,2026-06-11,PENDING
Thomas Davis,Female,Kerala,Kozhikode,623711,PASSPORT,JOINT,Residential,Connection Released,EB002337,2026-06-11,RELEASED
Mia Kumar,Female,Telangana,Nizamabad,510339,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB002338,2026-06-11,RELEASED
Sneha Gupta,Male,Telangana,Warangal,692896,PASSPORT,JOINT,Residential,Connection Released,EB002339,2026-06-11,RELEASED
Abigail Patel,Male,Andhra Pradesh,Vijayawada,582950,PAN,JOINT,Residential,Connection Released,EB002340,2026-06-11,RELEASED
Abigail Wilson,Male,Tamil Nadu,Chennai,589929,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002341,2026-06-11,RELEASED
Jack Verma,Male,Telangana,Warangal,661857,PASSPORT,JOINT,Commercial,Connection Released,EB002342,2026-06-11,RELEASED
Meera Rajan,Female,Karnataka,Belagavi,624385,ADHAR,INDIVIDUAL,Residential,DISCONNECTED,EB002343,2026-06-11,DISCONNECTED
Arjun Miller,Male,Telangana,Nizamabad,651508,VOTER_ID,JOINT,Commercial,Connection Released,EB002344,2026-06-11,RELEASED
Karthik Singh,Female,Karnataka,Bengaluru,517900,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB002345,2026-06-11,RELEASED
Emma Anderson,Female,Kerala,Thrissur,573767,ADHAR,JOINT,Residential,Connection Released,EB002346,2026-06-11,RELEASED
David Johnson,Female,Andhra Pradesh,Kurnool,579479,VOTER_ID,JOINT,Residential,CONNECTING,EB002347,2026-06-11,PENDING
Ananya Johnson,Female,Tamil Nadu,Coimbatore,517160,PASSPORT,JOINT,Residential,Connection Released,EB002348,2026-06-11,RELEASED
Sophia Reddy,Male,Karnataka,Mysuru,576139,ADHAR,JOINT,Residential,Connection Released,EB002349,2026-06-11,RELEASED
Jack Moore,Female,Kerala,Kochi,672396,PAN,INDIVIDUAL,Commercial,FAILED,EB002350,2026-06-11,PENDING
Rahul Verma,Male,Karnataka,Bengaluru,618719,VOTER_ID,JOINT,Commercial,Connection Released,EB002351,2026-06-11,RELEASED
Mia Taylor,Male,Telangana,Nizamabad,629859,PASSPORT,JOINT,Commercial,Connection Released,EB002352,2026-06-11,RELEASED
Deepak Iyer,Female,Telangana,Nizamabad,545432,VOTER_ID,JOINT,Commercial,DISCONNECTED,EB002353,2026-06-11,DISCONNECTED
Varun Thomas,Male,Andhra Pradesh,Visakhapatnam,501811,PAN,INDIVIDUAL,Commercial,Connection Released,EB002354,2026-06-11,RELEASED
Robert Iyer,Female,Andhra Pradesh,Guntur,606068,PAN,JOINT,Commercial,Connection Released,EB002355,2026-06-11,RELEASED
Daniel Brown,Male,Tamil Nadu,Madurai,517327,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB002356,2026-06-11,RELEASED
Amit Miller,Male,Karnataka,Mangaluru,662515,PAN,JOINT,Residential,Connection Released,EB002357,2026-06-11,RELEASED
Amelia Moore,Male,Kerala,Kozhikode,606499,VOTER_ID,JOINT,Residential,Connection Released,EB002358,2026-06-11,RELEASED
Thomas Brown,Male,Karnataka,Mangaluru,508417,PASSPORT,JOINT,Commercial,Connection Released,EB002359,2026-06-11,RELEASED
Emma Singh,Male,Tamil Nadu,Coimbatore,557154,PAN,INDIVIDUAL,Commercial,Connection Released,EB002360,2026-06-11,RELEASED
Rohit Smith,Female,Tamil Nadu,Salem,623188,PAN,JOINT,Residential,Connection Released,EB002361,2026-06-11,RELEASED
James Smith,Female,Karnataka,Belagavi,529304,PAN,JOINT,Commercial,Connection Released,EB002362,2026-06-11,RELEASED
Rohit Rajan,Female,Tamil Nadu,Coimbatore,544337,PASSPORT,JOINT,Residential,CONNECTING,EB002363,2026-06-11,PENDING
Suresh Patel,Female,Telangana,Warangal,619268,PASSPORT,JOINT,Commercial,CONNECTING,EB002364,2026-06-11,PENDING
Priya Patel,Female,Telangana,Khammam,647942,ADHAR,INDIVIDUAL,Commercial,CONNECTING,EB002365,2026-06-11,PENDING
Amit Gupta,Female,Andhra Pradesh,Kurnool,512339,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002366,2026-06-11,RELEASED
Daniel Johnson,Male,Tamil Nadu,Madurai,565869,PASSPORT,JOINT,Commercial,Connection Released,EB002367,2026-06-11,RELEASED
Evelyn Anderson,Male,Tamil Nadu,Madurai,541842,VOTER_ID,JOINT,Commercial,Connection Released,EB002368,2026-06-11,RELEASED
Suresh Nair,Female,Tamil Nadu,Coimbatore,605806,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002369,2026-06-11,RELEASED
William Reddy,Female,Karnataka,Hubballi,538349,PAN,JOINT,Residential,Connection Released,EB002370,2026-06-11,RELEASED
Deepak Taylor,Male,Kerala,Thiruvananthapuram,573392,VOTER_ID,JOINT,Residential,Connection Released,EB002371,2026-06-11,RELEASED
Arjun Reddy,Male,Telangana,Karimnagar,626600,VOTER_ID,JOINT,Commercial,Connection Released,EB002372,2026-06-11,RELEASED
Varun Johnson,Female,Kerala,Kochi,652783,PAN,INDIVIDUAL,Commercial,Connection Released,EB002373,2026-06-11,RELEASED
Charlotte Wilson,Female,Karnataka,Mangaluru,670429,ADHAR,INDIVIDUAL,Residential,Connection Released,EB002374,2026-06-11,RELEASED
Kavya Wilson,Male,Karnataka,Mysuru,638573,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB002375,2026-06-11,RELEASED
Ava Iyer,Male,Kerala,Kochi,553687,PAN,INDIVIDUAL,Residential,Connection Released,EB002376,2026-06-11,RELEASED
William Nair,Female,Karnataka,Bengaluru,602890,VOTER_ID,INDIVIDUAL,Commercial,DISCONNECTED,EB002377,2026-06-11,DISCONNECTED
James Iyer,Male,Kerala,Kochi,585651,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB002378,2026-06-11,RELEASED
Daniel Verma,Female,Karnataka,Hubballi,506868,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB002379,2026-06-11,RELEASED
Arjun Johnson,Male,Tamil Nadu,Coimbatore,528672,PAN,JOINT,Residential,Connection Released,EB002380,2026-06-11,RELEASED
Varun Moore,Female,Tamil Nadu,Madurai,537272,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB002381,2026-06-11,RELEASED
Robert Iyer,Female,Andhra Pradesh,Kurnool,554244,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB002382,2026-06-11,RELEASED
Mia Miller,Female,Tamil Nadu,Madurai,621475,PASSPORT,JOINT,Commercial,Connection Released,EB002383,2026-06-11,RELEASED
William Verma,Female,Tamil Nadu,Madurai,571176,PAN,INDIVIDUAL,Residential,Connection Released,EB002384,2026-06-11,RELEASED
Harper Verma,Male,Tamil Nadu,Madurai,682114,PAN,JOINT,Residential,Connection Released,EB002385,2026-06-11,RELEASED
Amit Smith,Male,Telangana,Khammam,554855,ADHAR,JOINT,Commercial,Connection Released,EB002386,2026-06-11,RELEASED
Rahul Smith,Female,Andhra Pradesh,Vijayawada,564477,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB002387,2026-06-11,RELEASED
David Rajan,Female,Andhra Pradesh,Kurnool,574934,PAN,JOINT,Commercial,Connection Released,EB002388,2026-06-11,RELEASED
Karthik Reddy,Female,Karnataka,Belagavi,674878,PAN,INDIVIDUAL,Commercial,Connection Released,EB002389,2026-06-11,RELEASED
Abigail Miller,Male,Tamil Nadu,Madurai,541671,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB002390,2026-06-11,RELEASED
